               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072979,            0.032627,            0.017502,             0.53336,             0.49841,             0.45806,             0.19411,            0.048687,            0.026905,           0.0050777,             0.07002,           0.0033311,           0.0033311
                   1,            0.054238,             0.02854,           0.0066027,             0.60206,             0.60402,             0.55502,             0.26428,            0.042632,            0.025488,           0.0038165,            0.039998,           0.0066424,           0.0066424
                   2,            0.050647,            0.028302,           0.0060288,              0.5733,             0.60608,             0.53646,             0.26019,            0.041973,            0.026585,           0.0040531,           0.0099543,           0.0099318,           0.0099318
                   3,            0.047954,            0.028182,           0.0057851,             0.62144,             0.64134,             0.58798,             0.30363,            0.038856,            0.024935,           0.0030047,            0.009901,            0.009901,            0.009901
                   4,             0.04546,            0.027911,            0.004936,             0.63146,             0.65988,             0.60239,             0.32067,            0.037517,            0.024455,           0.0026709,            0.009901,            0.009901,            0.009901
                   5,            0.043775,            0.027326,           0.0044892,             0.62955,             0.67379,             0.61509,             0.33835,            0.036345,            0.024206,           0.0025351,            0.009868,            0.009868,            0.009868
                   6,            0.042917,             0.02672,           0.0042514,             0.64224,             0.68349,             0.62705,             0.34717,            0.035668,            0.023795,           0.0022584,            0.009835,            0.009835,            0.009835
                   7,             0.04219,            0.026884,           0.0041264,              0.6514,             0.69592,              0.6393,             0.36355,            0.034575,            0.023492,           0.0020833,            0.009802,            0.009802,            0.009802
                   8,            0.041672,            0.026662,           0.0039715,             0.65259,             0.70124,             0.64524,             0.36701,            0.034047,            0.023321,            0.002114,            0.009769,            0.009769,            0.009769
                   9,            0.041143,            0.026484,           0.0038407,             0.65562,             0.70833,             0.64803,              0.3735,            0.033697,            0.023094,           0.0019764,            0.009736,            0.009736,            0.009736
                  10,            0.040823,            0.026481,           0.0037231,             0.66435,             0.70783,             0.65358,             0.38135,            0.033146,            0.022866,           0.0019037,            0.009703,            0.009703,            0.009703
                  11,            0.040504,            0.026181,           0.0036491,             0.66013,              0.7156,             0.65624,             0.38672,            0.032771,            0.022696,           0.0017756,             0.00967,             0.00967,             0.00967
                  12,             0.04036,             0.02608,           0.0035545,             0.66658,             0.72038,             0.65997,             0.39083,            0.032484,            0.022542,           0.0017122,            0.009637,            0.009637,            0.009637
                  13,            0.040127,            0.026323,            0.003531,             0.66137,             0.72819,             0.66422,              0.3962,            0.032047,            0.022591,           0.0017174,            0.009604,            0.009604,            0.009604
                  14,            0.040041,            0.026003,            0.003511,             0.66784,             0.73018,             0.67022,             0.40253,            0.031833,            0.022264,           0.0016593,            0.009571,            0.009571,            0.009571
                  15,            0.039482,            0.025925,           0.0034535,             0.67054,             0.73367,             0.67329,             0.40622,            0.031444,            0.022194,           0.0016015,            0.009538,            0.009538,            0.009538
                  16,            0.039339,            0.025761,           0.0033788,             0.66813,             0.73776,              0.6736,             0.41054,            0.031158,            0.022207,           0.0015615,            0.009505,            0.009505,            0.009505
                  17,            0.039161,            0.025722,           0.0033862,             0.67258,             0.73791,             0.67691,             0.41303,            0.030932,            0.022076,           0.0015538,            0.009472,            0.009472,            0.009472
                  18,            0.038893,            0.025635,           0.0032682,             0.67299,             0.74354,             0.68126,             0.41899,            0.030614,            0.021885,           0.0014768,            0.009439,            0.009439,            0.009439
                  19,            0.038886,            0.025667,           0.0033606,             0.67448,             0.74576,             0.68202,             0.42033,            0.030402,            0.021816,           0.0014425,            0.009406,            0.009406,            0.009406
                  20,            0.038855,            0.025629,           0.0032367,             0.67766,             0.74877,             0.68546,             0.42431,            0.030244,            0.021753,           0.0014029,            0.009373,            0.009373,            0.009373
                  21,            0.038584,            0.025558,           0.0032216,             0.67655,             0.75164,             0.68756,             0.42763,            0.030086,            0.021699,           0.0013658,             0.00934,             0.00934,             0.00934
                  22,            0.038533,            0.025706,           0.0031015,             0.67576,             0.75348,             0.68967,             0.43003,            0.029837,            0.021659,           0.0013426,            0.009307,            0.009307,            0.009307
                  23,            0.038357,            0.025605,           0.0031703,             0.68063,             0.75475,             0.69244,             0.43283,            0.029708,            0.021511,           0.0013289,            0.009274,            0.009274,            0.009274
                  24,            0.038321,            0.025298,           0.0030798,             0.68094,             0.75714,             0.69366,             0.43505,            0.029504,            0.021456,             0.00131,            0.009241,            0.009241,            0.009241
                  25,            0.038135,            0.025722,           0.0030594,              0.6801,             0.76102,             0.69677,             0.43796,            0.029367,             0.02137,           0.0012929,            0.009208,            0.009208,            0.009208
                  26,            0.038102,            0.025519,           0.0030544,             0.68001,             0.76356,             0.69718,             0.43955,            0.029232,            0.021353,           0.0012792,            0.009175,            0.009175,            0.009175
                  27,            0.037968,            0.025414,           0.0030995,             0.68262,             0.76437,              0.6989,             0.44238,            0.029077,            0.021305,           0.0012575,            0.009142,            0.009142,            0.009142
                  28,             0.03804,            0.025231,            0.003044,             0.68449,             0.76637,             0.70014,             0.44412,            0.028941,            0.021236,            0.001239,            0.009109,            0.009109,            0.009109
                  29,            0.037811,            0.025167,           0.0029983,             0.68228,             0.76941,             0.70206,             0.44616,            0.028857,            0.021215,           0.0012313,            0.009076,            0.009076,            0.009076
                  30,            0.037904,            0.025284,           0.0030718,             0.68394,             0.76859,             0.70254,             0.44795,            0.028723,             0.02118,             0.00122,            0.009043,            0.009043,            0.009043
                  31,            0.037768,            0.025155,           0.0029666,              0.6856,             0.76861,             0.70339,             0.44937,            0.028626,             0.02114,           0.0012095,             0.00901,             0.00901,             0.00901
                  32,             0.03762,            0.025273,           0.0029415,             0.68632,             0.77244,              0.7055,             0.45115,            0.028503,            0.021047,           0.0011899,            0.008977,            0.008977,            0.008977
                  33,            0.037551,            0.025234,           0.0029441,             0.68617,             0.77429,              0.7069,             0.45354,            0.028381,               0.021,           0.0011705,            0.008944,            0.008944,            0.008944
                  34,            0.037547,            0.025106,           0.0029376,             0.68639,             0.77594,             0.70746,              0.4548,            0.028293,            0.020975,            0.001159,            0.008911,            0.008911,            0.008911
                  35,            0.037397,            0.025104,           0.0029313,             0.68514,             0.77851,             0.70831,             0.45595,            0.028224,            0.020967,           0.0011534,            0.008878,            0.008878,            0.008878
                  36,            0.037342,            0.024933,           0.0028625,             0.68622,             0.77818,             0.70922,               0.457,            0.028163,            0.020937,           0.0011428,            0.008845,            0.008845,            0.008845
                  37,            0.037353,            0.025102,            0.002851,              0.6854,             0.78046,             0.71032,             0.45808,            0.028095,            0.020913,           0.0011318,            0.008812,            0.008812,            0.008812
                  38,            0.037172,             0.02485,           0.0028436,             0.68629,             0.78006,             0.71106,             0.45912,            0.028032,            0.020889,           0.0011219,            0.008779,            0.008779,            0.008779
                  39,            0.037292,             0.02488,           0.0029221,             0.68637,             0.78091,             0.71183,             0.46019,            0.027971,            0.020865,           0.0011172,            0.008746,            0.008746,            0.008746
                  40,            0.037166,            0.025046,           0.0029317,             0.68642,              0.7823,             0.71223,             0.46131,            0.027914,            0.020839,           0.0011122,            0.008713,            0.008713,            0.008713
                  41,            0.037046,            0.024702,           0.0028102,             0.68651,             0.78404,             0.71289,             0.46226,            0.027859,             0.02081,           0.0011058,             0.00868,             0.00868,             0.00868
                  42,             0.03707,            0.024854,           0.0027834,             0.68632,              0.7849,             0.71356,             0.46313,            0.027809,            0.020792,           0.0010997,            0.008647,            0.008647,            0.008647
                  43,            0.036901,            0.024826,            0.002772,             0.68744,             0.78495,             0.71428,             0.46389,             0.02776,            0.020764,           0.0010945,            0.008614,            0.008614,            0.008614
                  44,            0.036971,            0.024765,           0.0027467,             0.68887,             0.78412,             0.71479,              0.4646,            0.027716,             0.02074,           0.0010885,            0.008581,            0.008581,            0.008581
